Date,Asianpaint Open,Asianpaint High,Asianpaint Low,Asianpaint Close,Asianpaint AdjClose,Asianpaint Volume,Dmart Open,Dmart High,Dmart Low,Dmart Close,Dmart AdjClose,Dmart Volume,,,,,,,,,,,,
07-11-2023,3029.300049,3038.949951,3002.199951,3033.350098,3004.281982,757998,3649.5,3667.949951,3636,3653.300049,3653.300049,287032,,,,,,,,,,06-11-2023,2998,3029.300049
08-11-2023,3058,3098.949951,3046.199951,3095.25,3065.588867,783400,3658,3727.949951,3658,3712.399902,3712.399902,246719,,,,,,,,,,07-11-2023,3029.300049,3033.350098
09-11-2023,3100,3111.399902,3074.050049,3080.199951,3050.682861,849702,3733.899902,3765,3725,3747.600098,3747.600098,248748,,,,,,,,,,08-11-2023,3058,3095.25
10-11-2023,3070,3085,3040.100098,3076.449951,3046.968994,364232,3750,3800,3738.550049,3798.399902,3798.399902,205429,,,,,,,,,,09-11-2023,3100,3080.199951
13-11-2023,3098,3098,3065,3085.600098,3056.03125,405941,3809.949951,3819.800049,3740.199951,3798.449951,3798.449951,166502,,,,,,,,,,10-11-2023,3070,3076.449951
15-11-2023,3085.699951,3118.850098,3078.699951,3116.199951,3086.337891,700017,3810,3814.949951,3750.100098,3791.949951,3791.949951,372291,,,,,,,,,,13-11-2023,3098,3085.600098
16-11-2023,3119,3140.899902,3097.600098,3130.300049,3100.302979,675454,3795,3800,3765,3790.25,3790.25,148945,,,,,,,,,,15-11-2023,3085.699951,3116.199951
17-11-2023,3150,3228.25,3145.649902,3168.899902,3138.532959,1430175,3794.949951,3843,3780,3810.899902,3810.899902,266479,,,,,,,,,,16-11-2023,3119,3130.300049
20-11-2023,3168.899902,3171.899902,3132,3140.350098,3110.256592,406431,3810.899902,3833,3771.699951,3792.899902,3792.899902,252998,,,,,,,,,,17-11-2023,3150,3168.899902
21-11-2023,3156.899902,3156.899902,3127,3133.25,3103.224609,409069,3796,3842,3796,3814.949951,3814.949951,196060,,,,,,,,,,20-11-2023,3168.899902,3140.350098
22-11-2023,3140,3157,3121.199951,3133,3102.977051,489889,3820,3873.850098,3812.350098,3838.25,3838.25,200608,,,,,,,,,,21-11-2023,3156.899902,3133.25
23-11-2023,3148,3171.399902,3115.149902,3122.949951,3093.023193,792460,3848,3865,3798.949951,3844.399902,3844.399902,201012,,,,,,,,,,22-11-2023,3140,3133
24-11-2023,3118,3139.800049,3111,3136.149902,3106.09668,756329,3820,3869,3799,3842.899902,3842.899902,96391,,,,,,,,,,23-11-2023,3148,3122.949951
28-11-2023,3141.149902,3160,3136.149902,3148.350098,3118.179932,647883,3815,3934,3815,3912.149902,3912.149902,449705,,,,,,,,,,24-11-2023,3118,3136.149902
29-11-2023,3148.350098,3170,3142,3148.350098,3118.179932,620725,3915,3937,3841,3861.5,3861.5,333845,,,,,,,,,,28-11-2023,3141.149902,3148.350098
30-11-2023,3148.350098,3153.949951,3108.350098,3119.899902,3090.002441,1793116,3878,3962,3834,3949.75,3949.75,698850,,,,,,,,,,29-11-2023,3148.350098,3148.350098
01-12-2023,3146.949951,3190.600098,3140.25,3173.399902,3142.989746,960196,3969.649902,3995,3931.149902,3988.399902,3988.399902,380041,,,,,,,,,,30-11-2023,3148.350098,3119.899902
04-12-2023,3190,3204.449951,3166.5,3194.550049,3163.937256,1018189,4000,4049,3950.050049,3967.100098,3967.100098,389629,,,,,,,,,,01-12-2023,3146.949951,3173.399902
05-12-2023,3197,3247.649902,3180,3226.25,3195.333496,1005550,3950,4041,3949,4039.550049,4039.550049,443420,,,,,,,,,,04-12-2023,3190,3194.550049
06-12-2023,3265,3289,3232.949951,3252.550049,3221.381348,1229158,4039.550049,4175,4039,4137.149902,4137.149902,861085,,,,,,,,,,05-12-2023,3197,3226.25
07-12-2023,3284,3299.949951,3246.850098,3251.800049,3220.638672,1071725,4140.049805,4206,4095,4115.450195,4115.450195,414582,,,,,,,,,,06-12-2023,3265,3252.550049
08-12-2023,3255,3269.800049,3227.800049,3232,3201.02832,895852,4155.950195,4170,4027.649902,4070.649902,4070.649902,495575,,,,,,,,,,07-12-2023,3284,3251.800049
11-12-2023,3230,3245,3185.5,3233,3202.018799,910426,4070.649902,4075,4025.050049,4069.75,4069.75,239939,,,,,,,,,,08-12-2023,3255,3232
12-12-2023,3228,3257.050049,3210,3224.75,3193.8479,1019030,4080.899902,4100,4038.100098,4075.399902,4075.399902,349447,,,,,,,,,,11-12-2023,3230,3233
13-12-2023,3240,3254.949951,3190.300049,3243.649902,3212.56665,1052079,4075,4075.399902,3945.100098,4033.050049,4033.050049,388573,,,,,,,,,,12-12-2023,3228,3224.75
14-12-2023,3255,3258.600098,3218,3241.350098,3210.288818,923107,4044.949951,4081,3996.050049,4070.050049,4070.050049,264682,,,,,,,,,,13-12-2023,3240,3243.649902
15-12-2023,3250,3326.350098,3242,3313.899902,3282.143311,1631687,4085,4097.899902,4017,4045.649902,4045.649902,300270,,,,,,,,,,14-12-2023,3255,3241.350098
18-12-2023,3313,3335.800049,3296,3332.050049,3300.119629,911936,4045,4079.800049,4000,4010.149902,4010.149902,221527,,,,,,,,,,15-12-2023,3250,3313.899902
19-12-2023,3335.949951,3353.899902,3300.149902,3336.050049,3304.081299,780448,4010,4048.949951,3990.25,4021.350098,4021.350098,185004,,,,,,,,,,18-12-2023,3313,3332.050049
20-12-2023,3336.050049,3359.949951,3282.649902,3297.149902,3265.553955,979762,4011,4046.449951,3905,3965.899902,3965.899902,244858,,,,,,,,,,19-12-2023,3335.949951,3336.050049
21-12-2023,3280,3320,3271.850098,3302.949951,3271.29834,1585879,3950,4009.899902,3920.050049,3954.5,3954.5,286850,,,,,,,,,,20-12-2023,3336.050049,3297.149902
22-12-2023,3309.899902,3350.800049,3287,3341.300049,3309.281006,930563,3977.949951,4015,3962.050049,4007.949951,4007.949951,224831,,,,,,,,,,21-12-2023,3280,3302.949951
26-12-2023,3349.949951,3391.899902,3345.199951,3383.350098,3350.927979,600190,4009.949951,4038.199951,3995.350098,4023.449951,4023.449951,299135,,,,,,,,,,22-12-2023,3309.899902,3341.300049
27-12-2023,3381.050049,3409.949951,3354,3404.449951,3371.825684,837182,4020,4063.300049,4000,4027.449951,4027.449951,349033,,,,,,,,,,26-12-2023,3349.949951,3383.350098
28-12-2023,3405,3419.949951,3373.050049,3397.25,3364.694824,779250,4048.899902,4058.399902,4015,4044.649902,4044.649902,403866,,,,,,,,,,27-12-2023,3381.050049,3404.449951
29-12-2023,3410,3422.949951,3383.899902,3402.399902,3369.79541,615676,4045.100098,4098.899902,3984.199951,4082.649902,4082.649902,224994,,,,,,,,,,28-12-2023,3405,3397.25
01-01-2024,3403,3411.800049,3389.149902,3396.100098,3363.555908,283951,4075,4080,4042.100098,4064.75,4064.75,131614,,,,,,,,,,29-12-2023,3410,3402.399902
02-01-2024,3396,3398.899902,3345,3391.350098,3358.851318,552394,4070,4155,4006.25,4103.350098,4103.350098,843252,,,,,,,,,,01-01-2024,3403,3396.100098
