Date,Open,High,Low,Close,Adj Close,Volume,,,
22-02-2024,3860,3869,3801.850098,3851.449951,3851.449951,237411,,,
23-02-2024,3860,3872,3828.649902,3840.550049,3840.550049,226731,,,
26-02-2024,3840.550049,3859,3796.25,3850.350098,3850.350098,346646,,,
27-02-2024,3859,3885,3818.050049,3852.199951,3852.199951,256237,,,
28-02-2024,3856.399902,3948.300049,3838.100098,3850,3850,505405,,,
29-02-2024,3818.399902,3940,3797.050049,3918.899902,3918.899902,499782,,,
01-03-2024,3925,3936.75,3867,3884.149902,3884.149902,261674,,,
04-03-2024,3870.949951,3878.649902,3831,3846.350098,3846.350098,153055,,,
05-03-2024,3830,3884.350098,3811.300049,3834.5,3834.5,185829,,,
06-03-2024,3834.5,3895,3825.149902,3888.649902,3888.649902,308886,,,
07-03-2024,3888.649902,3942.649902,3877.199951,3925.949951,3925.949951,330459,,,
11-03-2024,3948.850098,4025,3936.050049,3979.649902,3979.649902,689781,,,
12-03-2024,3999,4042,3900,4031.699951,4031.699951,499999,,,
13-03-2024,4055,4056,3932.050049,3967.800049,3967.800049,521699,,,
14-03-2024,3966.949951,4040,3890,4019.25,4019.25,355226,,,
15-03-2024,4019.449951,4035,3904,3932.100098,3932.100098,348203,,,
18-03-2024,3932.100098,4019,3918.699951,4010.550049,4010.550049,230448,,,
19-03-2024,4008,4046.050049,3983.050049,4014.100098,4014.100098,451330,,,
20-03-2024,4015,4068,4009.25,4056.350098,4056.350098,346426,,,
21-03-2024,4117,4238,4091.5,4163.100098,4163.100098,1130832,,,
22-03-2024,4159.799805,4330.5,4151.149902,4297.600098,4297.600098,921652,,,
26-03-2024,4315.75,4509.450195,4297.25,4486.200195,4486.200195,1838678,,,
27-03-2024,4480.5,4533,4387.049805,4420.549805,4420.549805,814043,,,
28-03-2024,4424.950195,4560,4397.049805,4525.600098,4525.600098,892567,,,
01-04-2024,4570,4592,4456.299805,4483.299805,4483.299805,410983,,,
02-04-2024,4503,4563,4400.049805,4411.850098,4411.850098,442907,,,
03-04-2024,4455,4494.450195,4415,4460.899902,4460.899902,257333,,,
04-04-2024,4562,4715,4540,4645.049805,4645.049805,1564457,,,
05-04-2024,4645,4685,4557,4619.25,4619.25,418022,,,
08-04-2024,4648.149902,4748,4640,4672.799805,4672.799805,461322,,,
09-04-2024,4671.950195,4747.799805,4622,4716.149902,4716.149902,285672,,,
10-04-2024,4736.600098,4831.850098,4711,4754,4754,728446,,,
12-04-2024,4753.899902,4806.75,4725,4765.049805,4765.049805,676863,,,
15-04-2024,4680,4736.549805,4620.600098,4686.799805,4686.799805,358707,,,
16-04-2024,4650,4689.299805,4611.350098,4644.299805,4644.299805,245231,,,
18-04-2024,4644.299805,4694.299805,4605,4627.100098,4627.100098,417772,,,
19-04-2024,4766.950195,4836.700195,4651.100098,4696,4696,778084,,,
22-04-2024,4743,4815.950195,4692.049805,4758,4758,257706,,,
23-04-2024,4804.5,4890,4773,4800.549805,4800.549805,458148,,,
24-04-2024,4820,4835.700195,4778,4797.549805,4797.549805,199877,,,
25-04-2024,4801,4817.649902,4615.149902,4657.100098,4657.100098,462020,,,
26-04-2024,4657.049805,4719.950195,4531.5,4553.149902,4553.149902,254510,,,
29-04-2024,4560.5,4562.450195,4450,4483.799805,4483.799805,385596,,,
30-04-2024,4455.149902,4650,4455.149902,4603.799805,4603.799805,637696,,,
02-05-2024,4609.950195,4642.450195,4578,4605.049805,4605.049805,256067,,,
03-05-2024,4626.950195,4627,4545.049805,4612.350098,4612.350098,436785,,,
06-05-2024,4620,4739.899902,4576,4600.600098,4600.600098,643041,,,
07-05-2024,4619.950195,4698,4581,4660.450195,4660.450195,431030,,,
08-05-2024,4674.799805,4863.799805,4670,4806.75,4806.75,829723,,,
09-05-2024,4806.75,4895.600098,4730,4798.649902,4798.649902,618014,,,
10-05-2024,4798.649902,4852,4735.850098,4796.799805,4796.799805,290601,,,
13-05-2024,4799.950195,4809,4667,4693.700195,4693.700195,190782,,,
14-05-2024,4739,4755,4550.350098,4597.049805,4597.049805,376741,,,
15-05-2024,4614.950195,4680,4597.100098,4652.450195,4652.450195,298259,,,
16-05-2024,4674.299805,4699,4660.049805,4671.25,4671.25,519285,,,
17-05-2024,4680,4710,4665.049805,4682.899902,4682.899902,203113,,,
21-05-2024,4670,4737.450195,4605.450195,4705.899902,4705.899902,179171,,,
22-05-2024,4763.149902,4924.200195,4737.149902,4798.799805,4798.799805,716981,,,
23-05-2024,4794.5,4812,4755.799805,4793.549805,4793.549805,151025,,,
24-05-2024,4797.899902,4841.399902,4674.100098,4684.5,4684.5,307316,,,
27-05-2024,4651.549805,4669,4508,4537.350098,4537.350098,392853,,,
28-05-2024,4551.899902,4588.850098,4440.200195,4474.450195,4474.450195,224693,,,
29-05-2024,4474,4564.850098,4435.100098,4476.850098,4476.850098,234524,,,
30-05-2024,4475.899902,4497.25,4410,4444.950195,4444.950195,141706,,,
31-05-2024,4440,4450,4250.399902,4302.149902,4302.149902,866438,,,
03-06-2024,4392.950195,4400,4301,4349.350098,4349.350098,279797,,,
04-06-2024,4399,4590,4355.649902,4548.75,4548.75,1093378,,,
05-06-2024,4590,4900,4562.200195,4862.25,4862.25,1495770,,,
06-06-2024,4861.950195,4861.950195,4675.25,4687.049805,4687.049805,664303,,,
07-06-2024,4700,4806.350098,4690.75,4747.25,4747.25,352969,,,
10-06-2024,4769.049805,4812,4688,4778.399902,4778.399902,276907,,,
11-06-2024,4800,4829.899902,4676,4701.450195,4701.450195,266806,,,
12-06-2024,4710.049805,4740,4645,4666.75,4666.75,555091,,,
13-06-2024,4697.25,4739.950195,4640.049805,4656.649902,4656.649902,238268,,,
14-06-2024,4692,4759.950195,4671.049805,4739.950195,4739.950195,258982,,,
18-06-2024,4739.950195,5080,4734.799805,5039.299805,5039.299805,2054168,,,
19-06-2024,5079,5219,4901.350098,4933.899902,4933.899902,1438750,,,
20-06-2024,4947.450195,5022.5,4832.200195,4861.700195,4861.700195,577843,,,
21-06-2024,4928,5082.950195,4763,4804.850098,4804.850098,725998,,,
